budget,length,theater,critic_score,audience_score,meta_score,imdb_rating,sequel,total_cast_award_win,total_cast_award_nominate
50000000,124,NaN,NaN,4.3,NaN,NaN,0,24,118
65000000,137,NaN,6.7,4.2,60,6.8,0,26,94
10000000,106,NaN,6.5,3.8,61,7.3,0,13,40
30000000,112,NaN,NaN,4.2,NaN,NaN,0,4,16
3000000,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1
NaN,104,NaN,NaN,NaN,NaN,6,0,0,0
NaN,85,NaN,NaN,NaN,NaN,NaN,0,0,1
NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
NaN,93,NaN,NaN,NaN,NaN,NaN,0,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
20000,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
NaN,94,NaN,NaN,NaN,NaN,NaN,0,0,0
1000,80,NaN,NaN,NaN,NaN,NaN,0,0,0
35000,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
NaN,83,NaN,NaN,NaN,NaN,NaN,0,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
10000,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
50000,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
20000,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
