db_id,imdb_id,name,year,gross,budget,length,theater,critic_score,audience_score,meta_score,imdb_rating,sequel,total_cast_award_win,total_cast_award_nominate,genre_id,mpaa,genre_document,genre_drama,genre_comedy,genre_mystery,genre_news,genre_sports,genre_scifi,genre_romance,genre_family,genre_biography,genre_music,genre_adventure,genre_crime,genre_war,genre_musical,genre_fantasy,genre_thriller,genre_horror,genre_animation,genre_action,genre_history,genre_western,genre_adult,genre_filmnoir
2018503,155198.0,$pent,2000,9287,,91.0,,,,34.0,4.0,0,0,0,03,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021286,211181.0,102 Dalmatians,2000,66941559,85000000.0,100.0,2704.0,0.44,0.58,35.0,4.8,1,1,18,04_10_16,,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2026594,191754.0,28 Days,2000,37035515,43000000.0,103.0,2523.0,0.48,0.58,46.0,5.9,0,7,26,03_04,PG-13,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2027249,199290.0,3 Strikes,2000,9821335,6000000.0,82.0,678.0,0.23,0.64,11.0,3.8,0,0,0,04,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2027439,175414.0,30 Days,2000,9709,,87.0,,,0.68,30.0,5.2,0,0,0,04_09,,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2053341,221794.0,ABCD,2000,120000,200000.0,105.0,38.0,0.6,0.62,53.0,5.7,0,0,0,03,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2054033,199314.0,About Adam,2000,151559,,105.0,11.0,0.6,0.6,64.0,6.0,0,0,0,04_09,R,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2069520,149624.0,All the Pretty Horses,2000,15527125,57000000.0,116.0,1593.0,0.49,0.6,55.0,5.8,0,7,29,03_09_26,PG-13,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2069528,176426.0,All the Rage,2000,9268,,99.0,,,,39.0,5.6,0,5,19,03,R,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2071090,181875.0,Almost Famous,2000,32522352,60000000.0,122.0,2262.0,0.78,0.74,90.0,8.0,0,7,18,03_09_14,R,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2075535,144084.0,American Psycho,2000,15070285,7000000.0,102.0,1242.0,0.62,0.72,64.0,7.6,0,0,4,03_17,R,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2078469,218182.0,An Everlasting Piece,2000,75078,14000000.0,103.0,8.0,,,56.0,6.3,0,2,13,04,R,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2084137,204137.0,Animal Factory,2000,43805,,94.0,3.0,0.68,0.66,65.0,6.6,0,2,14,03_17,R,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2097238,179653.0,Astoria,2000,44025,,103.0,,0.48,0.56,29.0,7.1,0,0,0,03,R,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2101979,174480.0,Autumn in New York,2000,37752931,40000000.0,103.0,2282.0,0.41,0.58,24.0,5.4,0,1,8,03,PG-13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2107125,259207.0,Backstage,2000,1184727,,86.0,322.0,,,29.0,5.6,0,0,0,01,R,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2109226,211938.0,Bait,2000,15325127,35000000.0,119.0,2352.0,,,39.0,5.7,0,0,4,17_21_24,R,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
2110953,215545.0,Bamboozled,2000,2185266,10000000.0,135.0,243.0,0.54,0.72,50.0,6.4,0,3,17,03_04_14,R,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2116115,185183.0,Battlefield Earth,2000,21471685,44000000.0,118.0,3307.0,0.23,0.32,9.0,2.4,0,1,14,08_16_24,PG-13,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2117951,210567.0,Beautiful,2000,3060963,9000000.0,112.0,646.0,,,23.0,5.3,0,6,21,03_04,PG-13,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2118978,230030.0,Bedazzled,2000,37879996,48000000.0,93.0,2571.0,,,49.0,5.9,0,4,11,04_09_20,PG-13,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2119613,247196.0,Before Night Falls,2000,4221817,,133.0,127.0,0.68,0.76,85.0,7.3,0,2,13,03_13,R,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2123052,233315.0,Benjamin Smoke,2000,36807,,72.0,2.0,0.58,0.68,71.0,7.4,0,0,0,01,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2124429,218839.0,Best in Show,2000,18621249,6000000.0,90.0,497.0,0.75,0.74,78.0,7.5,1,0,9,04,PG-13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2129025,243927.0,Big Brother Trouble,2000,500976,,105.0,,,,,4.6,0,0,0,04_07_09_10,,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2129437,212815.0,Big Eden,2000,512451,,118.0,10.0,0.6,0.76,59.0,7.4,0,3,3,03_09,PG-13,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2129754,208003.0,Big Momma's House,2000,117559438,30000000.0,99.0,2854.0,0.44,0.64,33.0,5.0,0,0,0,04_17_24,PG-13,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2133877,168515.0,Bittersweet Motel,2000,380927,,82.0,16.0,,,47.0,8.0,0,0,0,01,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2137567,163983.0,Bless the Child,2000,29374178,40000000.0,107.0,2524.0,0.3,0.56,17.0,5.0,0,5,24,03_17_21_22,R,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
2137593,,Blessed Art Thou,2000,15047,,90.0,,,,,,0,0,0,03_20,PG-13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2140906,225196.0,Blue Moon,2000,56304,,89.0,14.0,,,29.0,6.6,0,0,4,03_04,PG-13,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2143148,181984.0,Boiler Room,2000,16938179,8000000.0,120.0,1335.0,,,63.0,7.0,0,3,5,03_17_21,R,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2144599,250264.0,Bonhoeffer: Agent of Grace,2000,296181,,88.0,,,,,6.5,0,0,0,03_17_18_21_25,,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0
2145140,229260.0,Book of Shadows: Blair Witch 2,2000,26421314,15000000.0,90.0,,0.34,0.42,15.0,4.0,1,3,6,05_21_22,R,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
