db_id,imdb_id,name,year,gross,budget,length,theater,critic_score,audience_score,meta_score,imdb_rating,sequel,total_cast_award_win,total_cast_award_nominate,genre_id,mpaa,genre_document,genre_drama,genre_comedy,genre_mystery,genre_news,genre_sports,genre_scifi,genre_romance,genre_family,genre_biography,genre_music,genre_adventure,genre_crime,genre_war,genre_musical,genre_fantasy,genre_thriller,genre_horror,genre_animation,genre_action,genre_history,genre_western,genre_adult,genre_filmnoir
2026594,191754.0,28 Days,2000,37035515,43000000.0,103.0,2523.0,0.48,0.58,46.0,5.9,0,7,26,03_04,PG-13,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2069520,149624.0,All the Pretty Horses,2000,15527125,57000000.0,116.0,1593.0,0.49,0.6,55.0,5.8,0,7,29,03_09_26,PG-13,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2071090,181875.0,Almost Famous,2000,32522352,60000000.0,122.0,2262.0,0.78,0.74,90.0,8.0,0,7,18,03_09_14,R,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2075535,144084.0,American Psycho,2000,15070285,7000000.0,102.0,1242.0,0.62,0.72,64.0,7.6,0,0,4,03_17,R,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2101979,174480.0,Autumn in New York,2000,37752931,40000000.0,103.0,2282.0,0.41,0.58,24.0,5.4,0,1,8,03,PG-13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2110953,215545.0,Bamboozled,2000,2185266,10000000.0,135.0,243.0,0.54,0.72,50.0,6.4,0,3,17,03_04_14,R,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2116115,185183.0,Battlefield Earth,2000,21471685,44000000.0,118.0,3307.0,0.23,0.32,9.0,2.4,0,1,14,08_16_24,PG-13,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2124429,218839.0,Best in Show,2000,18621249,6000000.0,90.0,497.0,0.75,0.74,78.0,7.5,1,0,9,04,PG-13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2129754,208003.0,Big Momma's House,2000,117559438,30000000.0,99.0,2854.0,0.44,0.64,33.0,5.0,0,0,0,04_17_24,PG-13,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2137567,163983.0,Bless the Child,2000,29374178,40000000.0,107.0,2524.0,0.3,0.56,17.0,5.0,0,5,24,03_17_21_22,R,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
